age,age_diff,height,height_diff,reach,reach_diff,stance,stance_diff,weight,weight_diff,won,won_diff,lost,lost_diff,drawn,drawn_diff,kos,kos_diff,result,decision,judge1,judge1_diff,judge2,judge2_diff,judge3,judge3_diff
30.0,1.0,166.0,-4.0,170.0,0.0,southpaw,southpaw,144.0,-1.0,49,15,3,2,2,2,37,10.0,win,TKO,109.0,10.0,108.0,9.0,108.0,8.0
30.0,0.0,166.0,-5.0,170.0,5.0,southpaw,southpaw,138.0,-2.0,48,3,3,2,2,2,36,4.0,win,KO,10.0,3.0,10.0,3.0,10.0,3.0
35.0,6.0,179.0,13.0,185.0,15.0,orthodox,orthodox,142.0,-3.0,39,-8,5,2,0,-2,30,-5.0,loss,RTD,71.0,-9.0,71.0,-9.0,72.0,-7.0
29.0,-5.0,166.0,-4.0,170.0,0.0,southpaw,southpaw,129.0,-1.0,45,-3,3,0,2,1,34,-1.0,win,SD,115.0,3.0,112.0,-3.0,114.0,1.0
28.0,-5.0,166.0,-2.0,170.0,-8.0,southpaw,southpaw,130.0,0.0,44,-19,3,-2,2,2,34,-8.0,win,UD,118.0,9.0,118.0,9.0,115.0,3.0
27.0,-3.0,166.0,-7.0,170.0,-13.0,southpaw,southpaw,129.0,0.0,42,-6,3,-1,2,2,32,-2.0,win,KO,,,,,,
26.0,-4.0,166.0,-4.0,170.0,0.0,southpaw,southpaw,130.0,0.0,39,-3,3,-7,2,0,30,-1.0,win,TKO,,,,,,
25.0,-5.0,166.0,-4.0,170.0,0.0,southpaw,southpaw,125.0,0.0,38,-4,2,0,1,1,29,-4.0,draw,SD,115.0,5.0,113.0,0.0,110.0,-5.0
24.0,-5.0,166.0,-2.0,170.0,-8.0,southpaw,southpaw,125.0,-1.0,37,-20,2,-1,1,1,28,-12.0,win,TKO,97.0,7.0,97.0,8.0,97.0,7.0
23.0,-10.0,166.0,0.0,170.0,0.0,southpaw,southpaw,120.0,-2.0,33,-11,2,-1,1,1,24,-8.0,win,TKO,,,,,,
22.0,-7.0,166.0,-2.0,170.0,-5.0,southpaw,southpaw,121.0,-1.0,32,-1,2,1,0,-1,23,1.0,win,TKO,50.0,6.0,50.0,6.0,50.0,6.0
21.0,-5.0,166.0,-3.0,170.0,102.0,southpaw,southpaw,122.0,0.0,26,-15,2,-3,0,0,17,-15.0,win,TKO,,,,,,
20.0,-10.0,166.0,0.0,170.0,103.0,southpaw,southpaw,116.0,1.0,24,17,1,-3,0,0,15,11.0,win,TKO,,,,,,
33.0,9.0,180.0,0.0,196.0,3.0,southpaw,southpaw,168.0,0.0,14,3,1,0,0,0,11,5.0,win,TKO,,,,,,
32.0,2.0,180.0,9.0,196.0,12.0,southpaw,southpaw,168.0,4.0,13,-3,0,-15,0,-2,10,4.0,loss,TKO,,,,,,
29.0,-4.0,180.0,0.0,196.0,14.0,southpaw,southpaw,167.0,0.0,5,-7,0,-12,0,-3,5,1.0,win,UD,60.0,7.0,60.0,7.0,60.0,8.0
30.0,3.0,165.0,-3.0,157.0,-8.0,orthodox,orthodox,127.0,0.0,23,-10,1,-2,0,-1,14,-10.0,win,UD,98.0,5.0,97.0,4.0,96.0,3.0
25.0,-5.0,174.0,5.0,174.0,-1.0,orthodox,orthodox,140.0,0.0,26,-8,0,-2,0,0,16,-16.0,win,UD,114.0,2.0,115.0,4.0,114.0,2.0
24.0,-1.0,174.0,0.0,174.0,-6.0,orthodox,orthodox,139.0,0.0,23,-3,0,-2,0,0,14,-4.0,win,TKO,28.0,0.0,28.0,0.0,28.0,0.0
23.0,-16.0,174.0,4.0,174.0,-4.0,orthodox,orthodox,139.0,-1.0,20,-13,0,-7,0,-1,14,-11.0,win,UD,99.0,8.0,98.0,6.0,100.0,10.0
21.0,-6.0,174.0,-1.0,174.0,-9.0,orthodox,orthodox,140.0,1.0,14,-14,0,-6,0,-2,9,-15.0,win,KO,,,,,,
20.0,-8.0,174.0,4.0,174.0,4.0,orthodox,orthodox,143.0,-2.0,8,-6,0,-5,0,0,7,2.0,win,UD,59.0,7.0,59.0,7.0,59.0,7.0
23.0,-13.0,165.0,-2.0,169.0,-3.0,orthodox,orthodox,115.0,0.0,11,-21,0,-9,0,-1,9,-4.0,win,TKO,49.0,3.0,50.0,5.0,50.0,5.0
23.0,-8.0,165.0,0.0,169.0,-1.0,orthodox,orthodox,115.0,0.0,10,-28,0,-7,0,-1,8,-10.0,win,KO,90.0,9.0,88.0,5.0,90.0,9.0
23.0,-2.0,165.0,2.0,169.0,1.0,orthodox,orthodox,115.0,1.0,9,-11,0,-2,0,-5,8,0.0,win,UD,118.0,9.0,116.0,5.0,118.0,9.0
22.0,-10.0,165.0,0.0,169.0,-1.0,orthodox,orthodox,115.0,1.0,8,-16,0,-6,0,-1,7,-14.0,win,TKO,10.0,1.0,10.0,1.0,10.0,1.0
20.0,-8.0,165.0,3.0,169.0,6.0,orthodox,orthodox,108.0,0.0,5,-24,0,-2,0,-1,4,-14.0,win,TKO,50.0,5.0,50.0,5.0,50.0,5.0
20.0,-6.0,165.0,-3.0,169.0,-2.0,orthodox,orthodox,108.0,0.0,3,-15,0,-1,0,-1,3,-5.0,win,UD,98.0,6.0,98.0,5.0,97.0,3.0
23.0,-5.0,164.0,-6.0,163.0,-12.0,southpaw,southpaw,127.0,0.0,17,-15,0,-3,0,0,10,-20.0,win,UD,80.0,8.0,80.0,8.0,79.0,7.0
23.0,0.0,164.0,-9.0,163.0,-15.0,southpaw,southpaw,126.0,-2.0,16,7,0,-1,0,0,10,7.0,win,UD,80.0,9.0,80.0,9.0,80.0,9.0
22.0,-9.0,164.0,-4.0,163.0,-10.0,southpaw,southpaw,128.0,0.0,14,-7,0,-18,0,-1,9,-1.0,win,UD,60.0,7.0,60.0,7.0,60.0,7.0
21.0,1.0,164.0,-6.0,163.0,-10.0,southpaw,southpaw,126.0,-1.0,4,0,0,-3,0,0,2,-2.0,win,UD,39.0,2.0,39.0,2.0,39.0,2.0
20.0,-3.0,164.0,-6.0,163.0,0.0,southpaw,southpaw,127.0,2.0,0,-3,0,-2,0,0,0,0.0,win,TKO,,,,,,
25.0,-8.0,170.0,-3.0,177.0,4.0,orthodox,orthodox,147.0,0.0,21,-19,0,-8,1,0,14,-15.0,win,UD,97.0,4.0,98.0,6.0,97.0,4.0
25.0,-3.0,170.0,-3.0,177.0,4.0,orthodox,orthodox,150.0,0.0,20,-5,0,0,1,1,14,0.0,win,UD,99.0,10.0,100.0,12.0,100.0,12.0
23.0,-8.0,170.0,-5.0,177.0,-5.0,orthodox,orthodox,144.0,-2.0,17,-8,0,-4,0,0,13,-1.0,win,UD,99.0,8.0,99.0,8.0,97.0,4.0
31.0,7.0,164.0,-4.0,168.0,-2.0,orthodox,orthodox,126.0,0.0,30,-5,2,1,1,0,15,-10.0,win,TD,100.0,10.0,99.0,8.0,99.0,8.0
31.0,2.0,164.0,-4.0,168.0,-5.0,orthodox,orthodox,126.0,2.0,29,1,2,1,1,1,15,-6.0,win,SD,116.0,5.0,117.0,7.0,112.0,-3.0
29.0,2.0,164.0,-6.0,168.0,2.0,orthodox,orthodox,128.0,-3.0,27,2,1,-3,1,1,14,-1.0,win,RTD,,,,,,
32.0,5.0,165.0,1.0,178.0,10.0,southpaw,southpaw,126.0,0.0,44,19,4,4,0,-1,35,22.0,loss,TKO,,,,,,
23.0,1.0,164.0,-1.0,168.0,-7.0,orthodox,orthodox,119.0,-1.0,17,3,0,-5,0,0,10,-1.0,win,RTD,,,,,,
21.0,-12.0,164.0,-9.0,168.0,-2.0,orthodox,orthodox,116.0,-1.0,11,-19,0,-5,0,0,7,-13.0,win,TKO,,,,,,
20.0,-15.0,164.0,-4.0,168.0,-5.0,orthodox,orthodox,118.0,-1.0,8,3,0,-5,0,0,5,3.0,win,UD,80.0,8.0,80.0,8.0,80.0,8.0
20.0,-6.0,164.0,0.0,168.0,0.0,orthodox,orthodox,121.0,0.0,7,-7,0,-5,0,-1,5,-5.0,win,UD,80.0,9.0,78.0,5.0,77.0,3.0
19.0,-14.0,164.0,7.0,168.0,11.0,orthodox,orthodox,120.0,-1.0,5,2,0,0,0,0,4,2.0,win,TKO,,,,,,
28.0,2.0,180.0,0.0,184.0,6.0,orthodox,orthodox,167.0,-1.0,25,9,1,1,0,0,19,9.0,win,KO,20.0,3.0,20.0,3.0,20.0,3.0
21.0,-14.0,163.0,-3.0,168.0,-2.0,southpaw,southpaw,122.0,0.0,15,-21,0,-11,0,-1,11,-16.0,win,KO,,,,,,
21.0,-12.0,163.0,0.0,168.0,-2.0,southpaw,southpaw,123.0,2.0,11,-3,0,-8,0,0,8,2.0,win,KO,,,,,,
20.0,-10.0,163.0,-2.0,168.0,-7.0,southpaw,southpaw,122.0,0.0,9,-3,0,-4,0,-4,6,1.0,win,TKO,,,,,,
20.0,-3.0,163.0,-2.0,168.0,3.0,southpaw,southpaw,122.0,0.0,7,2,0,-7,0,0,5,0.0,win,UD,60.0,6.0,60.0,6.0,60.0,6.0
20.0,-5.0,163.0,3.0,168.0,-2.0,southpaw,southpaw,121.0,-2.0,6,1,0,-1,0,0,4,3.0,win,TKO,,,,,,
33.0,-1.0,183.0,0.0,180.0,-4.0,orthodox,orthodox,175.0,0.0,31,1,0,-1,0,-1,15,-11.0,win,TKO,67.0,1.0,67.0,1.0,65.0,-3.0
32.0,-1.0,183.0,0.0,180.0,-4.0,orthodox,orthodox,175.0,0.0,30,0,0,0,0,-1,15,-11.0,win,UD,114.0,1.0,114.0,1.0,114.0,1.0
31.0,4.0,183.0,-2.0,184.0,-4.0,orthodox,orthodox,174.0,0.0,24,5,0,0,1,0,22,16.0,win,TKO,,,,,,
29.0,-5.0,183.0,-6.0,184.0,-9.0,orthodox,orthodox,175.0,0.0,19,-2,0,-4,1,0,17,9.0,win,TKO,,,,,,
29.0,2.0,183.0,3.0,184.0,-7.0,orthodox,orthodox,173.0,-2.0,18,6,0,-1,1,1,16,8.0,win,TKO,,,,,,
27.0,-12.0,183.0,0.0,184.0,-1.0,orthodox,orthodox,174.0,1.0,13,-2,0,-6,0,0,11,1.0,win,KO,,,,,,
27.0,-6.0,183.0,0.0,184.0,-4.0,orthodox,orthodox,174.0,-2.0,10,-12,0,-5,0,0,9,-7.0,win,TKO,,,,,,
33.0,11.0,160.0,-3.0,166.0,1.0,orthodox,orthodox,108.0,0.0,35,17,1,-1,4,3,21,9.0,win,UD,119.0,10.0,115.0,2.0,118.0,8.0
31.0,5.0,160.0,-9.0,166.0,-7.0,orthodox,orthodox,108.0,0.0,32,13,1,0,4,3,18,8.0,win,KO,,,,,,
31.0,4.0,160.0,0.0,166.0,10.0,orthodox,orthodox,108.0,0.0,31,-2,1,-8,4,2,17,-6.0,win,TKO,,,,,,
30.0,5.0,160.0,-9.0,166.0,-7.0,orthodox,orthodox,108.0,0.0,31,15,1,0,3,3,17,9.0,draw,MD,114.0,0.0,114.0,0.0,115.0,2.0
29.0,0.0,160.0,-14.0,166.0,-14.0,orthodox,orthodox,108.0,0.0,28,12,1,-1,3,2,16,7.0,win,UD,117.0,6.0,118.0,8.0,115.0,2.0
27.0,7.0,160.0,-2.0,166.0,4.0,orthodox,orthodox,107.0,0.0,25,10,1,0,3,3,14,2.0,win,TKO,,,,,,
27.0,-1.0,160.0,-8.0,166.0,6.0,orthodox,orthodox,105.0,0.0,24,-3,1,-2,3,2,14,2.0,win,SD,118.0,8.0,116.0,6.0,112.0,-4.0
25.0,-4.0,160.0,3.0,166.0,6.0,orthodox,orthodox,105.0,0.0,21,1,1,1,3,3,13,-2.0,win,UD,115.0,4.0,116.0,6.0,114.0,1.0
22.0,0.0,162.0,2.0,183.0,17.0,orthodox,orthodox,108.0,-6.0,13,2,3,3,0,-1,9,1.0,win,SD,,,,,,
21.0,-1.0,156.0,-4.0,165.0,-1.0,orthodox,orthodox,108.0,0.0,6,-3,2,2,0,-1,4,-2.0,loss,TKO,,,,,,
24.0,-12.0,189.0,14.0,191.0,8.0,southpaw,southpaw,168.0,0.0,33,-11,0,-4,0,0,24,-5.0,win,UD,120.0,12.0,120.0,12.0,120.0,12.0
24.0,-11.0,189.0,12.0,191.0,8.0,southpaw,southpaw,168.0,0.0,31,4,0,-4,0,-1,24,10.0,win,UD,100.0,10.0,100.0,10.0,100.0,10.0
22.0,-11.0,189.0,6.0,191.0,0.0,southpaw,southpaw,168.0,1.0,27,-6,0,-6,0,0,21,-4.0,win,TKO,,,,,,
22.0,-7.0,189.0,21.0,191.0,3.0,southpaw,southpaw,165.0,0.0,25,5,0,-10,0,-1,20,7.0,win,UD,100.0,10.0,100.0,10.0,100.0,10.0
26.0,-10.0,182.0,-1.0,185.0,-18.0,orthodox,orthodox,161.0,0.0,24,9,1,-6,0,-3,21,11.0,win,TKO,,,,,,
30.0,7.0,180.0,-2.0,178.0,-7.0,orthodox,orthodox,160.0,1.0,16,-4,0,0,0,0,13,-4.0,win,TKO,37.0,-2.0,37.0,-2.0,37.0,-2.0
22.0,-13.0,182.0,11.0,185.0,1.0,orthodox,orthodox,162.0,0.0,16,-4,0,-3,0,0,14,2.0,win,TKO,,,,,,
22.0,-8.0,182.0,12.0,185.0,7.0,orthodox,orthodox,163.0,1.0,15,-4,0,-1,0,-2,14,2.0,win,UD,80.0,8.0,79.0,6.0,80.0,8.0
21.0,-10.0,182.0,7.0,185.0,2.0,orthodox,orthodox,162.0,-3.0,12,-2,0,-3,0,0,11,8.0,win,TKO,10.0,2.0,10.0,1.0,10.0,1.0
21.0,-2.0,182.0,-6.0,185.0,-11.0,orthodox,orthodox,163.0,5.0,4,-1,0,-7,0,0,4,1.0,win,TKO,,,,,,
20.0,-16.0,182.0,12.0,185.0,-13.0,orthodox,orthodox,163.0,3.0,1,0,0,-1,0,0,1,0.0,win,KO,,,,,,
20.0,-4.0,182.0,9.0,185.0,7.0,orthodox,orthodox,163.0,2.0,0,-1,0,-1,0,0,0,-1.0,win,TKO,,,,,,
42.0,17.0,168.0,-15.0,183.0,-4.0,orthodox,orthodox,153.0,0.0,34,13,5,5,0,0,19,3.0,loss,TKO,,,,,,
